Year,Place,Title,Artist,Featuring,Title_url,Released,Genre 1,Genre 2,Genre 3,Length,Label,Total Labels,Writer 1,Writer 2,Youtube
2020,29,Bop,DaBaby,,/wiki/Bop_(DaBaby_song),2019,,,,2:39,Interscope,1,Jonathan Kirk,Tahj Morgan,https://www.youtube.com/watch?v=28hYUZMufDg
2020,30,Lose You to Love Me,Selena Gomez,,/wiki/Lose_You_to_Love_Me,2019,Pop,,,3:26,Interscope,1,Selena Gomez,Julia Michaels,https://www.youtube.com/watch?v=zlJDTxahav0
2020,31,Good as Hell,Lizzo,,/wiki/Good_as_Hell,2016,,,,2:39,Atlantic,2,Melissa Jefferson,Eric Frederic,https://www.youtube.com/watch?v=vuq-VAiW9kw
2020,32,Toosie Slide,Drake,,/wiki/Toosie_Slide,2020,Trap,,,4:07,Republic,2,Aubrey Graham,Ozan Yildirim,https://www.youtube.com/watch?v=xWggTb45brM
2020,33,Break My Heart,Dua Lipa,,/wiki/Break_My_Heart_(Dua_Lipa_song),2020,Dance-pop,Disco-funk,,3:41,Warner,1,Dua Lipa,Andrew Wotman,https://www.youtube.com/watch?v=Nj2U6rhnucI
2020,34,Chasin' You,Morgan Wallen,,/wiki/Chasin%27_You,2019,Country,,,3:25,Big Loud,1,Jamie Moore,Morgan Wallen,
2020,35,Savage Love (Laxed – Siren Beat),Jawsh 685,Jason Derulo,/wiki/Savage_Love_(Laxed_%E2%80%93_Siren_Beat),2020,Siren jam,Dancehall,Reggaeton,2:51,Columbia,1,Joshua Nanai,Jason Desrouleaux,https://www.youtube.com/watch?v=Jvcv8trEuao
2020,36,No Guidance,Chris Brown,Drake,/wiki/No_Guidance,2019,R&b,,,4:20,RCA,1,Christopher Brown,Aubrey Graham,https://www.youtube.com/watch?v=6L_k74BOLag
2020,37,My Oh My,Camila Cabello,DaBaby,/wiki/My_Oh_My_(Camila_Cabello_song),2020,Pop,,,2:51,Epic,2,Camila Cabello,Jonathan Kirk,https://www.youtube.com/watch?v=6fd2kkLmSDQ
2020,38,Dynamite,BTS,,/wiki/Dynamite_(BTS_song),2020,Disco,Pop,,3:19,Big Hit,3,David Stewart,Jessica Agombar,https://www.youtube.com/watch?v=gdZLi9oWNZg
2020,39,Go Crazy,Chris Brown,Young Thug,/wiki/Go_Crazy_(Chris_Brown_and_Young_Thug_song),2020,R&b,Trap,,2:56,RCA,1,Christopher Brown,Jeffery Williams,https://www.youtube.com/watch?v=dPhwbZBvW2o
2020,40,High Fashion,Roddy Ricch,Mustard,/wiki/High_Fashion_(song),2020,,,,3:40,Atlantic,1,Rodrick Moore Jr.,Dijon McFarlane,
2020,41,Laugh Now Cry Later,Drake,Lil Durk,/wiki/Laugh_Now_Cry_Later,2020,Trap,,,4:21,Republic,2,Aubrey Graham,Durk Banks,https://www.youtube.com/watch?v=JFm7YDVlqnI
2020,42,Woah,Lil Baby,,/wiki/Woah_(Lil_Baby_song),2019,Trap,,,3:03,Quality Control,2,Dominique Jones,Chris Rosser,https://www.youtube.com/watch?v=nUEqPtVGIpE-A
2020,43,Death Bed,Powfu,Beabadoobee,/wiki/Death_Bed_(Coffee_for_Your_Head),2020,Lo-fi hip hop,Emo rap,,2:53,Columbia,1,Isaiah Faber,Beatrice Laus,https://www.youtube.com/watch?v=jJPMnTXl63E
2020,44,Señorita,Shawn Mendes,Camila Cabello,/wiki/Se%C3%B1orita_(Shawn_Mendes_and_Camila_Cabello_song),2019,Latin pop,,,3:11,Island,1,Shawn Mendes,Camila Cabello,https://www.youtube.com/watch?v=Pkh8UtuejGw
2020,45,Highest in the Room,Travis Scott,,/wiki/Highest_in_the_Room,2019,Trap,,,2:55,Cactus Jack,3,Jacques Webster II,Ozan Yildirim,https://www.youtube.com/watch?v=tfSS1e3kYeo
2020,46,Bad Guy,Billie Eilish,,/wiki/Bad_Guy_(Billie_Eilish_song),2019,Electropop,Dance-pop,Pop-trap,3:14,Interscope,1,Billie Eilish,Finneas O'Connell,https://www.youtube.com/watch?v=DyDfgMOUjCI
2020,47,Mood,24kGoldn,Iann Dior,/wiki/Mood_(song),2020,Pop rap,Rap rock,,2:20,Columbia,1,Golden Von Jones,Michael Olmo,https://www.youtube.com/watch?v=GrAchTdepsU
2020,48,Rain on Me,Lady Gaga,Ariana Grande,/wiki/Rain_on_Me_(Lady_Gaga_and_Ariana_Grande_song),2020,House,Dance-pop,Disco,3:02,Interscope,1,Lady Gaga,BloodPop,https://www.youtube.com/watch?v=AoAm4om0wTs
2020,49,For the Night,Pop Smoke,Lil Baby and DaBaby,/wiki/For_the_Night,2020,Hip hop,Trap,Soul,3:10,Victor Victor,2,Bashar Jackson,Dominique Jones,https://www.youtube.com/watch?v=Q9pjm4cNsfc
2020,50,Ritmo (Bad Boys for Life),Black Eyed Peas,J Balvin,/wiki/Ritmo_(Bad_Boys_for_Life),2019,Hip hop,Pop,Reggaeton,3:42,Epic,1,William Adams,Allan Pineda,https://www.youtube.com/watch?v=EzKkl64rRbM
2020,51,Heart on Ice,Rod Wave,,/wiki/Heart_on_Ice,2019,,,,2:39,Alamo,1,Rodarius Green,Johnathan Smith Servance,https://www.youtube.com/watch?v=deMLg4FPFhQ
2020,52,Nobody but You,Blake Shelton,Gwen Stefani,/wiki/Nobody_but_You_(Blake_Shelton_and_Gwen_Stefani_song),2020,Country,Pop,,3:15,Warner,1,Ross Copperman,Shane McAnally,https://www.youtube.com/watch?v=4h9o0Gujuoc
2020,53,Trampoline,Shaed,,/wiki/Trampoline_(Shaed_song),2018,Electro,,,3:04,Photo Finish,1,Chelsea Lee,Max Ernst,
